,title,artist,date,description,text,tags,group,Dirigido a,Ubicación,Duración,Precio,event,category,url,image
0,Espejo de Carlos Baixauli y Espejo de Zenzo Sakai,No definido,9 jun 2023,Proyecciones de los últimos experimentos de Carlos Baixauli en 16mm se unen al cortometraje Liberate the Toy del cineasta japonés Zenzo Sakai.,"Al encuentro de un fuego fallero, de Carlos Baixauli. España, 2023. 20 min.
Sesión formada por Love Intervention y València en flames. A la hora de zambullirse en un medio desconocido siempre nos enfrentamos a aciertos y fracasos como parte del proceso creativo. Estas dos piezas muestran el desarrollo personal dentro del cine en 16mm, a través de la construcción y, sobre todo, la destrucción del medio. En ambos cortos, el fuego toma un papel principal en la búsqueda de un alma fallera dentro del cine.
  Carlos Baixauli ha estudiado cine en la Universidad Camilo José Cela y se encuentra terminando el curso MásterLAV en 2023. Ha trabajado en series españolas para Disney+, Atresmedia y Movistar+. Actualmente, colabora con  el Archivo Val del Omar y festivales de cine como Márgenes.
  Liberate the Toy, de Zenzo Sakai. Japón, 2011. 16 min.
Dos amigas enfermeras intentan ayudar a una paciente, supuesta víctima de violencia machista. Lo que empieza como un acto de altruismo desemboca en un laberinto de culpabilidades cruzadas.
Zenzo Sakai nace en Tokio en 1985. Se gradúa en la Escuela de Cine de Tokio en 2011. Mientras se gana la vida como director freelance para televisión y otros medios, también produce películas independientes con un equipo de amigos.",['#Audiovisuales'],FILMADRID 2023,Público general,Sala Audiovisual,1 hora,"2€, 4€",Coloquio con Carlos Baixauli y Zenzo Sakai,"['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/espejo-de-carlos-baixauli-y-espejo-de-zenzo-sakai,https://www.lacasaencendida.es/storage/13741/responsive-images/espejo-de-carlos-baixauli-y-espejo-de-zenzo-sakai___detail_1600_1067.jpg
1,Espejo de Paula Gaitán y Espejo Nadja Ericsson,No definido,8 jun 2023,"Paula Gaitán y Nadja Ericsson, dos cineastas de diferentes generaciones y procedencias muy dispares se unen para profundizar en su trabajo a través de sus cortometrajes.","Memória da memória, de Paula Gaitán. Brasil, 2013. 25 min.
En Memória da Memória la intención de la vuelta a la vida de las imágenes es distinta. Es más bien un recorrido interior, a medio camino entre las notas o apostillas, sobre el mismo acto de filmar y sentirse filmado.
  Paula Gaitán, cineasta colombiano-brasileña nace en París en 1954. Actualmente reside en São Paulo, Brasil. Es también artista plástica, fotógrafa y poeta. Su primera experiencia en el cine es como directora de arte del clásico del Cinema Novo A Idade da Terra (La Edad de la Tierra), de 1978. Dirige su primer largometraje, Uaká, diez años después. Desde entonces, ha dirigido decenas de largometrajes, videos, series de televisión e instalaciones, entre ellos Luz nos Trópicos (2020) que pasó por FILMADRID.
  A Wine-colored Sea, de Nadja Ericsson. Suecia, 2019. 7 min.
En el fondo del mar Báltico yacen miles de minas navales dejadas tras las guerras mundiales, que amenazan con detonar. El propio mar también está amenazado por una fuerte contaminación. Estudiando sus cambios, es posible predecir lo que ocurrirá con otros océanos en el futuro. A Wine-Colored Sea es una odisea poética y asociativa a través del Mar Báltico, donde surge un ""nosotros"" ambiguo, una voz colectiva submarina.
  Notes on a Pine Forest, de Nadja Ericsson. Suecia, 2018. 11 min.
Basado en películas que muestran ejercicios militares en la isla báltica de Gotland, desde los años 30 hasta la actualidad, este cortometraje sigue, a través del montaje, los tropos cinematográficos del material de partida y estudia su materialidad y connotaciones. se encuentra entre la documentación y la ficción, entre el análisis y la especulación. ",['#Audiovisuales'],FILMADRID 2023,Público general,Sala Audiovisual,50 minutos,"2€, 4€",No details,['CINE'],https://www.lacasaencendida.es/cine/espejo-de-paula-gaitan-y-espejo-nadja-ericsson,https://www.lacasaencendida.es/storage/13748/responsive-images/espejo-de-paula-gaitan-y-espejo-nadja-ericsson___detail_1600_900.jpg
2,Espejo de Nikita Lavretski,No definido,8 jun 2023,"Nikita Lavretski ofrece como espejo la premiere mundial del primer número del fanzine autoeditado y colectivo del movimiento Belarusian Cinema Konchenyy.
Dirigido a: Público general
Ubicación: Sala Audiovisual
Duración: 2 horas 15 minutos
Precio: 2€, 4€","COOL (News from Belarus), de Nikita Lavretski, Radu Jude, Pierre Leon, etc. Bielorusia, Rumanía, etc, 2023. 120 min
En el primer número del fanzine cinematográfico autoeditado del movimiento Belarusian Cinema Konchenyy (también conocido como Belarusian Fucked-Up Cinema o Belarusian Hopeless Cinema), directores repartidos por todo el mundo adaptan a la pantalla noticias hilarantes y conmovedoras escritas por Anton Serenekov en 2022, uno de los últimos periodistas independientes que trabajaban en Bielorrusia. Para ello, los cineastas han tenido que recrear y reimaginar el país más místico de Europa con medios improvisados. Pero seamos realistas, ¡estos cineastas bielorrusos son expertos en sacar lo mejor de la nada!
  VV.AA. + Nikita Lavretski nace en 1994 en Minsk, Bielorrusia. En 2018 realiza un máster en estudios cinematográficos en la Academia Estatal de Artes de Bielorrusia, en Minsk. Su primer largometraje, Belarusian Psycho, gana el premio a la mejor película bielorrusa en 2015 en el Festival Internacional de Cine Listapad de Minsk.",['#Audiovisuales'],FILMADRID 2023,Público general,Sala Audiovisual,2 horas 15 minutos,"2€, 4€",No details,['CINE'],https://www.lacasaencendida.es/cine/espejo-de-nikita-lavretski,https://www.lacasaencendida.es/storage/13747/responsive-images/espejo-de-nikita-lavretski___detail_1600_900.jpg
3,Solo performance,Sofia Jernberg,7 jun 2023,"Sofia Jernberg, nacida en Etiopía y criada en Vietnam y Suecia, es una compositora, cantante y artista de la voz que presenta por primera vez su trabajo en España con este solo vocal de múltiples capas. Su trabajo se centra en técnicas y sonidos poco convencionales, como la vocalización no verbal, los tonos divididos, el canto atonal y la distorsión.","La interpretación vocal en solitario de Sofia Jernberg se centra en las cualidades sonoras de la voz humana. El texto o cualquier cosa que pueda percibirse como lenguaje ha sido eliminado en el proceso creativo. Sin efectos electrónicos y con una sola voz en una sala, su objetivo es lograr una estructura de múltiples capas.
Programa:
Tradicional etíope
Adwa: canción sobre la victoria etíope en la primera guerra italo-etíope.
Gigis Lament: una canción sobre un corazón roto.
One Pitch (2015): pájaros para distorsión y sintetizadores bucales.
Sofia Jernberg. Nacida en Etiopía y criada en Vietnam y Suecia, es una cantante y compositora excepcional. Estudió jazz y composición en Suecia y vive y trabaja en Estocolmo. Su trabajo se centra en técnicas y sonidos poco convencionales, como la vocalización no verbal, los tonos divididos, el canto atonal y la distorsión.
El teatro musical y la ópera contemporánea desempeñan un papel importante en la obra artística de Jernberg. Participó en representaciones de Pierrot Lunaire de Arnold Schönberg en 2010 y Lohengrin de Salvatore Sciarrino en 2014 por el conjunto sueco Norrbotten NEO y encarnó papeles escritos específicamente para ella en nuevas obras como de Emily Hall y de Anna Thorvaldsdottir. La producción de , dirigida por Marlene Monteiro Freitas y dirigida por Ingo Metzmacher, la presentó como solista junto con el Klangforum Wien en el Wiener Festwochen 2021 y en el KunstFestSpiele Herrenhausen 2022.",['#Música'],Festival Domingo 2023,Público general,Patio,30 minutos,10€,Duración: 30 minutos,['ESCÉNICAS'],https://www.lacasaencendida.es/escenicas/solo-performance-de-sofia-jernberg,https://www.lacasaencendida.es/storage/14560/responsive-images/sofia-jernberg___detail_1600_1078.jpg
4,Espejo de Salka Tiziana y Espejo de Tomasso Santambrogio,No definido,7 jun 2023,"Viaje por el cine italiano del pasado y el presente con películas de Mangini y de Seta, seleccionadas por Salka Tiziana y un cortometraje de 2019 de Tomasso Santambrogio.
Dirigido a: Público general
Ubicación: Sala Audiovisual
Duración: 1 hora 10 minutos
Precio: 2€, 4€","La canta delle marane, de Cecilia Mangini. Italia, 1962. 11 min. 
Una visión sensual, vibrante y sin eufemismos, sobre los niños de los suburbios romanos y su afición veraniega, nadar en los estanques.
  Cecilia Mangini nace en 1927 en Mola di Bari, Italia. Fue una cineasta imprescindible del cine italiano. Documentalista, guionista y fotógrafa. Feminista activista y con gran compromiso político. Considerada pionera del cine documental y referente del cine italiano de no ficción, destaca por su trabajo con el foco en la denuncia social. Sus películas representan el choque de la tradición y la modernidad con un profundo lirismo. Fue la primera mujer que rodó documentales en la Italia de la posguerra. 
  Un giorno in Barbagia, de Vittorio de Seta. Italia, 1958. 14 min.
Barbagia es una vasta región de Cerdeña; Orgosolo, Oliena y Manoiana son pueblos de pastores y los hombres viven lejos la mayor parte del año con sus rebaños. Por eso, las casas y los niños quedan al cuidado de las mujeres, que cortan leña, trabajan el campo y preparan el pan, el pan de los pastores.
  Vittorio de Seta (Palermo, 1923) debuta como director con Pasqua in Sicilia, codirigido con Vito Pandolfi, y en 1954-55 rueda seis documentales en Sicilia. Entre ellos, Isola di fuoco obtiene el primer premio de documentales en el Festival de Cannes de 1955 y Contadini del mare gana el Festival de Mannheim en 1956. Debutó en el largometraje en 1961 con Banditi a Orgosolo. En la década de 1970 se pasó a la televisión, iniciando una colaboración con la RAI que dio lugar al guión Diario di un maestro (1973).  Fallece en 2011.",['#Audiovisuales'],FILMADRID 2023,Público general,Sala Audiovisual,1 hora 10 minutos,"2€, 4€",Coloquio con Salka Tiziana y Tomasso Santambrogio,"['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/espejo-de-salka-tiziana-y-espejo-de-tomasso-santambrogio,https://www.lacasaencendida.es/storage/13744/responsive-images/espejo-de-salka-tiziana-y-espejo-de-tomasso-santambrogio___detail_1600_865.jpg
5,Para Sama,"Waad al-Kateab, Edward Watts",6 jul 2023,"Para Sama es una carta de amor de una joven madre a su hija. Cuenta la historia de Waad Al-Kateab a lo largo de cinco años de guerra en Alepo, Siria. Charla posterior con la fotógrafa Carole Alfarah.","Para Sama, de Waad al-Kateab, Edward Watts, Reino Unido, 2019. 96 min. VOSE.
En la segunda sesión del ciclo 'Gestos necesarios para cambiar el mundo', su protagonista se centra en grabar con una cámara para dejar muestra de lo que está pasando.
Waad no deja nunca de grabar todo lo que la rodea. Durante esos años se enamora, se casa y da a luz a Sama, mientras una guerra devastadora destruye el país. Su cámara captura historias dolorosas y terribles, pero también las ganas de vivir, la risa, la solidaridad y la fuerza de la supervivencia.
La joven madre tiene que decidir si huir o no de la ciudad para proteger la vida de su hija, pero sabe que irse significa abandonar la lucha por la que se han sacrificado tanto su marido, sus amigos y ella. Para escribir su carta a Sama utiliza una cámara, no quiere dejar de mirar.
   ",['#Contextos internacionales #Audiovisuales'],Gestos necesarios para cambiar el mundo,Público general,Sala Audiovisual,2 horas 30 minutos,4€,"Coloquio con:
Carole Alfarah, fotógrafa documental y narradora multimedia independiente. Captó con su cámara la sociedad civil durante el conflicto sirio. 
Comisariado por: 
Isabel Sánchez Fernández, periodista y comisaria de exposiciones.","['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/para-sama-de-waad-al-kateab-edward-watts,https://www.lacasaencendida.es/storage/13816/responsive-images/para-sama___detail_1600_900.jpg
6,Solo nos queda bailar,Levan Akin,4 jul 2023,Sesión inaugural del ciclo 'Gestos necesarios para cambiar el mundo' centrada en este caso en el baile como vía para afianzar la diversidad e identidad sexual. Charla posterior con José Manuel Carrasco.,"Solo nos queda bailar, de Levan Akin, Suecia, 2019. 113 min. VOSE.
Merab está enamorado de Irakli. La atracción entre los dos se nota cuando bailan juntos. El erotismo se percibe, se respira. Son jóvenes y están dentro de una compañía nacional de danza georgiana donde no hay sitio para la homosexualidad. Como dice un maestro: «La danza georgiana se apoya en lo masculino. Aquí no hay espacio para la debilidad», y otro, guardián de la tradición, añade: «La danza georgiana no son solo pasos. Es la expresión de la sangre de nuestra nación».
Pero Merab descubre tanto el amor como su sexualidad y, con su cuerpo, se siente libre de amar a Irakli. Tan libre como cuando baila. También posee la capacidad para apasionarse y respetar la danza georgiana y su tradición, y luchar por conseguir una plaza importante como bailarín.",['#Audiovisuales #LGTBIQ'],Gestos necesarios para cambiar el mundo,Público general,Sala Audiovisual,2 horas 30 minutos,4€,"Coloquio con:
José Manuel Carrasco, director de cine, guionista y profesor de dirección en la ECAM.
Comisariado por:
Isabel Sánchez Fernández, periodista y comisaria de exposiciones.
 ","['CINE', 'ENCUENTROS']",https://www.lacasaencendida.es/cine/solo-nos-queda-bailar-de-levan-akin,https://www.lacasaencendida.es/storage/13817/responsive-images/solo-nos-queda-bailar-de-levan-akin___detail_1600_907.jpg
7,Ema,Pablo Larraín,1 jul 2023,El director nominado al Oscar por No representa en este trabajo los conflictos intrínsecos de la maternidad a través de una mujer que usa el baile como acto de rebeldía para reclamar la libertad que la sociedad le ha arrebatado. ,"Ema, de Pablo Larraín. Chile, 2019. 107 min
Ema es una bailarina de reggaetón magnética e impulsiva. Después de un grave incidente que cambia su vida familiar y su tóxico matrimonio con un coreógrafo, Ema se embarca en una cruzada de liberación personal, sin importarle a quien tenga que seducir o destruir para lograr su objetivo.
Pablo Larraín (Santiago de Chile, 1976) debuta en 2006 con su primer largometraje Fuga, tras fundar la productora Fábula en 2003. Pronto gana reconocimiento con la trilogía sobre la dictadura de Pinochet: Tony Manero (2008), Post Mortem (2010) y No (2012). Por esta última recibe su primera nominación al Óscar. Simultáneamente dirige Prófugos (2011), la primera serie producida en Chile para HBO Latinoamérica. En 2015 gana el Oso de Plata por El Club y más tarde estrena los biopics Neruda (2016), Jackie (2016) y Spencer (2021).",['#Audiovisuales'],"La Terraza Magnética 2023. ¡Alucina, vecina!",Público general,Terraza,1 hora 59 minutos,4€,"La actriz protagonista Mariana di Girolamo presentará la película y mantendrá una conversación con el público, previa a la proyección. ",['CINE'],https://www.lacasaencendida.es/cine/ema-de-pablo-larrain,https://www.lacasaencendida.es/storage/14995/responsive-images/Ema_04_Fabula-%281%29___detail_1600_670.jpg
8,Dinamarca,No definido,30 jun 2023,"La música de Dinamarca llega directa al corazón, tejiendo paisajes nostálgicos que recuerdan atardeceres y memorias de su infancia. Fusiona las percusiones latinas y caribeñas del reggaetón con las melodías trance y pop de finales de los 90 y 2000.","Cristian Dinamarca es un dj y productor afincado en Estocolmo. Co-fundador del sello Staycore con Ghazal, se ha convertido en un referente para la música de club que conecta escenas locales.
Nacido en Chile y criado en Suecia, sus producciones fusionan las percusiones latinas y caribeñas del reggaetón con las melodías trance y pop de finales de los 90’s y 2000’s.
Ha colaborado con artistas como Eartheater, Ms. Nina, COUCOU CHLOE, La Favi, Rusowsky y Dellafuente. En 2023 publica su sexto disco, Soñao, diez temas que mezclan los ritmos rotos del drum’n’bass, el perreo etéreo y la samba, con las colaboraciones de artistas como Meth Math, Amore o Ralphie Choo.",['#Música'],"La Terraza Magnética 2023. ¡Alucina, vecina!",Público general,Terraza,1 hora,8€,Apertura de puertas a las 20:30 h.,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/dinamarca,https://www.lacasaencendida.es/storage/14903/responsive-images/dinamarca___detail_1600_1062.jpg
9,Muestra de Cine de Lavapiés,No definido,29 jun 2023,"Como parte de Un Piano preparado, la Muestra incluirá por primera vez a La Casa Encendida en su red de espacios de exhibición.","La Muestra de cine de Lavapiés usa el cine como medio para fomentar lugares de encuentro entre vecinas. Se desarrolla en distintos espacios del barrio desde su primera edición. Con carácter de cine club, cada proyección incluye una pequeña presentación y una discusión colectiva.
Esta iniciativa cuenta con una red de espacios de proyección no convencionales, como por ejemplo La Eskalera Karakola –un centro social feminista autogestionado, situado en la calle Embajadores–, o el solar Esto es una Plaza de la calle Doctor Fourquet, que se recuperó en 2008 como parte de un grupo de ciudadanos interesados en dar uso a ese espacio.
Películas:
Port Trade Portrait (David Batlle, 2014). Documental. 36'
Un retrato del antiguo puerto de mercancías de Barcelona, actualmente transformado en espacio de ocio turístico. De los mismos muelles que zarparon los barcos negreros que enriquecieron a la burguesía barcelonesa, hoy turistas pasean junto africanos que intentan salir adelante bajo la presión de persecuciones y detenciones.
Arrhash (Tarik El Idrissi y Javier Rada, 2009) Documental. 44'
Entre 1923 y 1927, el ejército español bombardeó con gas mostaza a la población civil durante la guerra del Rif. España se convirtió en una de las primeras potencias en utilizar estos métodos de exterminio y consiguió que su crimen permaneciese en un conveniente olvido. Casi un siglo después, un joven rifeño, residente en Madrid, inicia una carrera contra reloj para salvaguardar la memoria de los últimos testigos de aquella guerra. El Gobierno español nunca ha admitido tales crímenes. Y las víctimas, muy ancianas, amenazan con morir sin haber explicado qué ocurrió durante aquellos años de asfixia y muerte.",['#Artes Visuales / Plásticas'],Un piano preparado,,Sala Audiovisual,2 horas,Gratis,Entrada gratuita,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/muestra-de-cine-de-lavapies,https://www.lacasaencendida.es/storage/13178/responsive-images/muestra-de-cine-de-lavapies___detail_1600_900.jpg
