,title,artist,date,description,text,tags,group,event,category,url,image,Duración
0,Visita escolar 'Los retos en la era posCOVID',No definido,25 oct 22 - 31 mar 23,"Nuestra juventud ha estado en el punto de mira desde el inicio de la pandemia de la COVID-19, casi siempre achacándole conductas irresponsables o peligrosas para la propagación del virus. Pero… ¿concuerda esta imagen con la realidad? ¿Acaso no hay jóvenes responsables y comprometidos con su papel como ciudadanos?","La exposición Los retos del mundo en la era Post-COVID II, exhibida en los pasillos de La Casa Encendida, evalúa la situación global derivada de la COVID-19 y propone un ejercicio de reflexión sobre los desafíos que la pandemia nos deja en su primer año. Con un planteamiento muy visual, infográfico y didáctico, la exposición se basa en publicaciones de Le Monde Diplomatique en español y en los datos más recientes de Naciones Unidas y de sus agencias especializadas.
En esta visita a la exposición, dirigida a grupos escolares de 3.º - 4.º de secundaria y a bachillerato, se quiere dar voz y un lugar de reflexión a nuestra juventud. El taller se propone como herramienta didáctica con la que interpelar al alumnado e involucrarlo en la reflexión conjunta acerca de los aspectos que le afectan de forma más directa.
La pobreza y el hambre, el papel de las mujeres, el cambio climático, la crisis de suministros… Son varios los aspectos de nuestras vidas en los que la COVID-19 ha tenido impacto y que se estudian en esta exposición. La Agenda 2030 se ha visto negativamente afectada, pero esta crisis nos deja la enseñanza de que debemos seguir trabajando por los 17 Objetivos de Desarrollo Sostenible (ODS), codo con codo, sin dejar a nadie atrás; la solución pasa por todos o por ninguno: planteemos un nuevo contrato intergeneracional. En este taller damos a nuestra juventud la oportunidad de tomar conciencia de que puede liderar procesos corresponsables y sostenibles. Resulta imprescindible que la juventud se sienta parte activa en la búsqueda de propuestas y soluciones frente a los retos que esta pandemia está planteando a la humanidad entera. Escuchemos lo que tiene que decir.",[''],Secundaria,No details,['ESCOLARES'],https://www.lacasaencendida.es/escolares/visita-escolar-los-retos-en-la-era-poscovid,https://www.lacasaencendida.es/storage/6136/responsive-images/13885-609f-visita_escolar_retos_era_poscovid_nt___detail_1600_900.jpg,
1,'Queens of the Qing Dynasty',Ashley McKenzie,23 oct 2022,"Una oda, nada convencional, a la amistad entre personas disidentes que no encajan en una sociedad normativa. Explora la belleza intrínseca de los defectos innatos del ser humano.","Queens of the Qing Dynasty, de Ashley McKenzie. Canadá. 2022. 122’. (Estreno en España)
Singular relación que se establece entre una adolescente neurodiversa, ingresada tras varios intentos de suicidio, y un joven estudiante de Shanghái que trabaja de voluntario en el hospital mientras intenta conseguir los papeles para no tener que volver a China. El intercambio nocturno de secretos, confidencias y mensajes de texto ampliará los límites de su relación alterando la química entre ambos.
La película está protagonizada por actores debutantes y cuenta con un cuidado diseño sonoro y una banda sonora original de música electrónica compuesta por las productoras Yu Su y Cecile Believe, a la que se le suman temas de Suzanne Ciani, Autechre o Kottarashky.
Ashley McKenzie (Canadá, 1984). Cineasta radicada en Unama'ki, isla del Cabo Bretón, escribe y dirige películas en colaboración con personas de su comunidad. Tras realizar varios cortometrajes -Rhonda’s Party (2012); When You Sleep (2013), y Stray (2015) 4 Quarters (2015) - debutó en 2016 con la película Werewolf con la que obtuvo importantes reconocimientos en festivales internacionales. En 2022 ha estrenado su segundo largometraje, , que tuvo su premiere mundial en la Berlinale.",[''],She Makes Noise 2022,No details,['CINE'],https://www.lacasaencendida.es/cine/queens-qing-dynasty-ashley-mckenzie,https://www.lacasaencendida.es/storage/6181/responsive-images/13971-609f-queens_qing_dynasty_2022_nt___detail_1600_926.jpg,2 horas
2,'No hables con la boca llena',Coco Moya y erreefe,23 oct 2022,"La performance creada por la artista y música Coco Moya, en colaboración con Ricardo Fernández Martín alias erreefe, canaliza las investigaciones de ambos en torno al sonido y el pan. La actuación se grabará en directo desde el Torreón I para La Casa Encendida Radio, donde se emitirá después su versión sonora en formato podcast.","Con el subtítulo “Munkbang: Masa Madre”, No hables con la boca llena es un eating show psicodélico alrededor del pan, una performance que explora el alimento en clave ASMR exhibiendo la sonoridad, la ingesta y masticación del acto de comer y su relación con la oralidad. Sobre la mesa, como una última cena, el pan es deglutido mientras una proyección se acerca a las texturas del proceso en vivo en su crudeza más explícita, hasta llegar a una composición narcótica y psicodélica. Textos y experimentaciones sonoras con referencias a Guattari, Jean Luc Nancy y Moraza que sirven para establecer un paralelismo entre lo comestible y lo audible, ambos procesos de conversión de un afuera en un adentro, y, en definitiva, en la emergencia de la subjetividad dentro de esa relación de ingestión y escucha.
El ASMR (Autonomous Sensory Meridian Response: Respuesta Sensorial Meridiana Autónoma) es un fenómeno biológico caracterizado por una placentera sensación que provoca calidez y relajación, y que en ocasiones puede estar acompañado de cierto hormigueo que se siente usualmente en la cabeza, cuero cabelludo o regiones periféricas del cuerpo como respuesta a varios estímulos visuales y auditivos. El Mukbang es un subgénero de ASMR que consiste en comer comida ante los micrófonos.",[''],She Makes Noise 2022,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/no-hables-boca-llena-coco-moya-erreefe,https://www.lacasaencendida.es/storage/6193/responsive-images/13977-609f-no_hables_con_la_boca_llena_2022_nt___detail_1600_1066.jpg,1 hora
3,Hara Alonso,No definido,23 oct 2022,"La artista multimedia Hara Alonso presenta un concierto interactivo donde formaremos una orquesta colectiva con objetos cotidianos, instrumentos musicales y tecnología. Con esta actuación viajaremos hacia un universo sonoro con altas dosis de imaginación.","El público de En Familia descubrirá en este concierto, pensado específicamente para el festival She Makes Noise, las herramientas necesarias para la creación sonora. A través de un proceso colectivo, orquestaremos entre todes una pieza sinfónica, utilizando objetos cotidianos e instrumentos musicales. De esta forma, desarrollaremos la escucha activa, la improvisación y la creatividad. El público está invitado a traer sus propios instrumentos; de pequeña percusión (xilófonos, castañuelas, etc.) objetos sonoros que encuentren en casa (cucharas, periódicos, porexpanes, cáscaras de frutas y verduras etc.).
Recomendamos traer: un sonido crujiente, un sonido de agua y un sonido relacionado con la tierra.
Hara Alonso es pianista y compositora. Combina elementos electrónicos e instrumentales generando experiencias sonoras en torno a las nuevas narrativas que interrelacionan música y tecnología. Por medio de la improvisación, la práctica creativa, las interfaces y la codificación compone nuevos sistemas y lenguajes. Alonso trabaja como diseñadora de sonido, lleva varios proyectos de investigación artística en la Universidad de las Artes de Estocolmo, ciudad en la que reside habitualmente y es artista en residencia en Elektronmusikstudion. En 2014 inició el proyecto de composición participativa . Además de su práctica artística, enseña programación musical en la capital sueca e imparte numerosos talleres y workshops.",[''],She Makes Noise 2022,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/hara-alonso,https://www.lacasaencendida.es/storage/6197/responsive-images/13981-609f-hara_alonso_en_familia_2022_nt___detail_1600_1068.jpg,1 hora
4,Hüma Utku + object blue,No definido,22 oct 2022,Hüma Utku explora las posibilidades de interrelación entre las texturas sonoras y el beat para evocar una sensación de calma y sosiego dentro de la música electrónica; object blue nos ofrece su primera actuación en Madrid en compañía en las visuales de la artista digital y creativa Natalia Podgórska.,"Hüma Utku
Su formación como sicóloga ha sido clave en la concepción de su segundo disco, que presenta ahora por primera vez en España, ‘The Psychologist’ editado por MEGO. Alejada de toda etiqueta comercial, en su práctica convergen grabaciones de campo, instrumentos como el piano y ambientes atmosféricos densos y oscuros, limítrofes con el minimal techno junto a pinceladas de noise y ritmos ancestrales venidos del Medio Oriente. Utku entiende su música como herramienta para contarnos historias. Sus composiciones se inspiran en la condición humana, la psicología Junguiana, el misticismo y el folclore de su país de origen, Turquía.
Hüma Utku (Turquía) fue artista en residencia en el Submarine Studio de Yara Mekaw de El Cairo (Egipto) a finales de 2017. Tras el éxito internacional de su primer EP ‘Şeb-i Yelda’ en 2018, lanzó su álbum debut de larga duración bajo el nombre de ‘GNOSIS’ en julio de 2019 a través del sello Karlrecords. Este lanzamiento supuso para ella el reconocimiento internacional. En los dos últimos años, su fructífera producción ha destacado en plataformas como The Wire, Noisey, Rolling Stone, Redbull Music, Groove Mag y Scene Noise. Además, ha colaborado con emisoras como BBC Radio 3, NTS radio, RAI 3, Resonance FM, YLE y Sveriges Radio. En 2021, fue seleccionada para participar en la plataforma europea para la promoción de las nuevas músicas y el arte contemporáneo SHAPE. Su disco ‘The Psychologist’, 2022, editado por el sello de electrónica experimental vienés MEGO, puede leerse como una investigación musical sobre la condición humana.",[''],She Makes Noise 2022,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/huma-utku-object-blue,https://www.lacasaencendida.es/storage/6190/responsive-images/13976-609f-she_makes_noise_2022_huma_utku_2_nt___detail_1600_900.jpg,2 horas
5,Aircode,No definido,22 oct 2022,Performance audiovisual ambient basada en las conexiones entre naturaleza y electrónica. Debut de Aircode en España.,"Como compositora, la producción de Aircode presenta ritmos dubby, una cuidadosa utilización de los espacios, dinámicas siempre cambiantes y percusiones superpuestas con voces y piano. Aircode navega por un camino esotérico a través de los sonidos de la naturaleza. En su directo, daremos cuenta también de todo lo siniestro y oscuro que puedan tener estas interrelaciones, donde establece ráfagas de noise, inspirándose en espectáculos de terror y ruidos metálicos de procesos rituales, coqueteando constantemente con la sugerencia de que algo antiguo y en expansión acecha justo debajo de la superficie.
En la parte visual de su set ha colaborado con el realizador y diseñador Federico Barni quien se asoció con el Instituto Botánico del Sur de Londres para crear una imagen atmosférica que acompañara cada tema. Combinando la documentación de la extensa colección de musgo y plantas hepáticas del Instituto con representaciones abstractas de estas plantas y su ecología, adoptando la mirada científica como una forma de expandir y encantar nuestra percepción de estos mundos ocultos, y consiguiendo finalmente la sensación de un thriller de ciencia ficción. Aircode y Barni exploran sistemas ecológicos interconectados a nivel micro y macro que nos llevan a otros lugares.",[''],She Makes Noise 2022,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/aircode,https://www.lacasaencendida.es/storage/6188/responsive-images/13975-609f-aircode_2022_nt___detail_1600_1060.jpg,1 hora
6,Sesión de cortometrajes 'El cuerpo a escena',No definido,22 oct 2022,"Esta sesión de cortometrajes del festival She Makes Noise reúne tres trabajos en los que la presencia del cuerpo en la pantalla ocupa especial relevancia, tanto a nivel plástico, con su presencia coreográfica, performativa e incluso escultórica, como a nivel argumental.","Madrugada, de Leonor Noivo. Portugal. 2021. 28’. VOSE (Estreno en Madrid)
María, una mujer de cincuenta años que trabaja de limpiadora, comienza a mostrar signos de querer pertenecer a otro lugar. Aparecen escamas en su piel, raíces en sus piernas y escucha el sonido del agua. Sueña con ser un pez. Un día, su hija se encuentra con su desaparición y reconstruye, a través del recuerdo de sus gestos y conversaciones, una posible explicación a su fuga. Es una película sobre la metamorfosis de alguien cuya vida no le pertenece.
Leonor Noivo (Portugal, 1976). Cineasta, estudió arquitectura y fotografía. Posteriormente se matriculó en la Escuela Superior de Teatro y Cine de Lisboa, donde se especializó en montaje y dirección cinematográfica en 2004. Como guionista, productora y asistente de dirección ha trabajado junto con cineastas como João Pedro Rodrigues, Filipa Reis, João Salaviza, João Nicolau, Marília Rocha o Pedro Pinho. Es cofundadora de la productora Terratreme. Como directora comenzó su carrera en 2001 con el cortometraje Aside Macao, al que le han seguido más de una docena. Los más recientes: September (2016), Tudo o que imagino (2017), Raposa (2019) y Madrugada (2021) con los que ha participado en algunos de los más prestigiosos festivales internacionales de cine: Locarno (Suiza), Rotterdam (Países Bajos), Vienalle (Austria), FidMarseille (Francia), Clernont-Ferrand (Francia), Ficunam (México), Indielisboa (Portugal) o Vila do Conde (Portugal) entre otros, recibiendo numerosos premios.",[''],She Makes Noise 2022,No details,['CINE'],https://www.lacasaencendida.es/cine/sesion-cortometrajes-cuerpo-escena,https://www.lacasaencendida.es/storage/6177/responsive-images/13970-609f-cuerpo_escena_madrugada_2022_nt___detail_1600_898.jpg,1 hora 30 minutos
7,h waas,No definido,22 oct 2022,"Un concierto audiovisual donde h waas (Helga Juárez) recrea un Lago misterioso mediante ambientes de guitarras, múltiples capas de texturas, armonías corales y visuales que nos transportan hacia paisajes etéreos y criaturas mágicas.","Su música lleva a los oyentes hacia paisajes envueltos de emociones, inspirados por la naturaleza y la búsqueda de la belleza. El Lago simboliza el ojo en la tierra, por el cual los habitantes del mundo subterráneo pueden mirar a las personas, animales y plantas. Un lugar misterioso donde explorar sonidos anestésicos envueltos en atmósferas decadentes que acercará el ambient y la escucha a todes les niñes y jóvenes. Después de su paso por los festivales Sónar y Primavera Sound esta es su primera actuación en Madrid.  
h waas (Helga Juárez) es compositora, diseñadora y artista visual. Comenzó a estudiar piano y acordeón a los seis años, pero pronto dejó el conservatorio para experimentar de forma autodidacta tanto con los platos como con la batería y los sintetizadores. Tras formar parte de diferentes iniciativas musicales de la escena underground barcelonesa, en 2015 decidió comenzar su propio proyecto en solitario, h waas. En paralelo, desarrolla trabajos de gráfica y audiovisuales desde una perspectiva no narrativa, intuitiva y con estéticas derivadas de la imagen y pintura abstracta. Actualmente es responsable del programa de música El Lago en dublab bcn.",[''],She Makes Noise 2022,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/h-waas,https://www.lacasaencendida.es/storage/6195/responsive-images/13980-609f-hwass_en_familia_2022_nt___detail_1600_1051.jpg,1 hora
8,Lotic + Yazzus,No definido,21 oct 2022,"Presentación por primera vez en Madrid del show audiovisual de Lotic ‘Endless Power’ creado junto al diseñador y escenógrafo Emmanuel Biard. Cierra la noche Yazzus, reinterpretando sus creencias espirituales, herederas de la diáspora africana y la cultura rave de principios de los 90.","  Lotic: “Endless Power”
El compromiso con la investigación, la evolución de los sonidos electrónicos y la comunidad afrodescendiente y queer son las temáticas en las que se basa el trabajo de J’Kerian Morgan alias Lotic desde sus inicios. Su nombre significa de, relativo o que vive en el agua y resume estos diez años de trayectoria artística, primero como DJ y después como productora trabajando una evolución del R&B distorsionado. Su primer largo, ‘Power’, editado en 2018, transformó miedos y vulnerabilidades en la consolidación de una gran fuerza individual. Su nuevo y liberador disco, ‘Water’, suma a la experimentación electrónica su propia intensidad vocal, reflexionando acerca de la construcción de género, la realidad racial y migrante y la globalización. Tras su paso por los festivales Sónar, CTM y Rewire, esta es la primera vez que presenta en Madrid este espectáculo acompañado de todo un referente internacional en el juego de luces, Emmanuel Biard, artista que trabaja regularmente en las puestas en escena de clubs como Fabric o con promotores como Hoya:Hoya. Ha colaborado también en los montajes visuales de Evian Christ y Koreless.",[''],She Makes Noise 2022,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/lotic-yazzus,https://www.lacasaencendida.es/storage/6171/responsive-images/13967-609f-lotic_2022_nt___detail_1600_900.jpg,2 horas
9,Sesión 'Decolonialidad cuir',No definido,21 oct 2022,"Un acercamiento a las culturas indígenas y a las disidencias de género en comunidades LGTBIQ+ de América Latina a través del trabajo de Simon(e) Jaikiriuma Paetau, quien investiga con otras formas de crear un imaginario audiovisual sobre temas de identidad, memoria y feminismo interseccional.","Aribada, de Simon(e) Jaikiriuma Paetau y Natalia Escobar. Colombia / Alemania. 2022’. 30’. VOSE (Estreno en España)
En la zona conocida como el Eje Cafetero de Colombia renace el monstruo Aribada, mito ancestral que se une a Las Traviesas, un grupo de mujeres trans indígenas de las tribus Emberá que luchan con su existencia diaria por mantener la esencia que las define como seres humanos y contra la violencia estructural, racista y transfóbica. El objetivo es crear juntes su propia comunidad transfuturista. Sueñan e imaginan una utopía queer donde las posibilidades de ser mujer existan más allá de las categorías del género binario. Formalmente, la película crea un espacio de convivencia entre la ficción, el documental y lo performativo, desafiando la narrativa clásica y descolonizando el lenguaje cinematográfico occidental a través de un universo estético y espiritual propio, donde conviven lo atávico y lo tecnológico. Banda sonora con temas de Aérea Negrot y Christian González.
Aribada tuvo su premiere mundial en el Festival de Cannes.
Simon(e) Jaikiriuma Paetau (Alemania, 1986). Artiste multidisciplinar, de origen germano colombiano. Su trabajo se enmarca entre la vídeo-instalación, el cine y la performance. Estudió Media Art en la KHM Colonia (Alemania) y Cine en la EICTV de San Antonio de los Baños (Cuba). Sus obras cinematográficas se han presentado en Documenta14 Kassel, Festival de Cannes (Francia), Festival de Rotterdam (Países Bajos), Festival New Directors del MoMA (Nueva York), Festival de Oberhausen (Alemania), Festival de Cartagena (Colombia), Zinegoak (España) o Festival de Vila do Conde (Portugal) obteniendo varios premios.",[''],She Makes Noise 2022,No details,['CINE'],https://www.lacasaencendida.es/cine/sesion-decolonialidad-cuir,https://www.lacasaencendida.es/storage/6174/responsive-images/13968-609f-decolonialidad_cuir_aribada_2022_nt___detail_1600_900.jpg,1 hora 30 minutos
