,title,artist,date,description,text,tags,group,Duración,event,category,url,image
0,Talleres 'Form of feelings/feelings of form',Adriano Wilfert,8 abr 2022,"Con motivo de la representación de la pieza feelings, basada en un proyecto de investigación de largo recorrido sobre las políticas de los sentimientos, el coreógrafo danés Adriano Wilfert y los performers que participan esta pieza de danza ofrecen dos talleres.","*Los talleres se desarrollan en inglés y están destinados a cualquier persona interesada en los sentimientos, sin necesidad de que tenga experiencia previa en danza.
Desde su aparición a finales del siglo XIX, los artistas, el público y los críticos occidentales consideraron que la danza moderna tenía una capacidad especial para ofrecer una mediación directa y presumiblemente auténtica de los sentimientos. Ya sea en el arte o en determinadas formas de terapia, la danza se ha enmarcado como la manera perfecta para autoexpresarse y mostrar la libertad de las personas.
Sin embargo, desde mediados del siglo XX han surgido diferentes propuestas para liberar a la danza de su obligación de expresar los sentimientos del bailarín a través de, entre otros, el trabajo de Merce Cunningham o Yvonne Rainer.
""Esto no va sobre mí"" ha sido el lema de los artistas de danza contemporánea a los que Adriano Wilfert Jensen ha admirado y tomado como referencia. Al tratar de ir más allá de la autoexpresión, artistas como Mårten Spångberg, Alice Chauchat, Alina Popa, Xavier Le Roy o Krõõt Juurak ampliaron el campo de la coreografía más allá de la danza. De una manera expandida, la coreografía podía entenderse como un sinónimo de y abordar el análisis y la producción de, por ejemplo, el dispositivo teatral, la producción de conocimiento, la vida en común, la música o el cine.",[''],Not in a group,2 horas,No details,['ESCÉNICAS'],https://www.lacasaencendida.es/escenicas/talleres-form-feelingsfeelings-form-adriano-wilfert,https://www.lacasaencendida.es/storage/5946/responsive-images/13555-609f-talleres_form_feelings_adriano_wilfert_nt___detail_1600_900.jpg
1,Encuentro con Marina Casado,No definido,7 abr 2022,La Biblioteca de La Casa Encendida acoge una presentación y coloquio con la autora Marina Casado que recientemente ha publicado una novela titulada Los doce reinos del tiempo (2021) y un poemario Los ojos fríos del Vals (2022).,"Marina Casado Hernández (Madrid, 1989) es profesora de Lengua Castellana y Literatura en la Comunidad de Madrid. Licenciada en Periodismo y doctora en Literatura Española, es autora de cuatro poemarios, dos ensayos y una novela publicados en Ediciones de la Torre, Huerga y Fierro y Torremozas. Ha coordinado varias antologías, como De viva voz. Antología del Grupo Poético Los Bardos (Ediciones de la Torre, 2018). Finalista del Premio Adonáis de Poesía en 2018, 2019 y 2020; en 2019 obtuvo el Segundo Premio de Poesía Jóvenes Creadores del Ayuntamiento de Madrid y, en 2020, el Premio Carmen Conde de Poesía para Mujeres con su obra Este mar al final de los espejos, publicada por la editorial Torremozas. Entre otros galardones, recibió el Primer Premio del VI Certamen Literario SER Madrid Sur y el del XV Certamen de Relato Corto Eugenio Carbajal. Algunos de sus poemas han aparecido en revistas como Ærea, Piedra del Molino, El Coloquio de los Perros… Ha participado en festivales poéticos internacionales: Raias Poeticas (Portugal), Voix Vives (Toledo), ELVA (Gran Canaria) y Primavera Poética (Lima). Colabora habitualmente en El País con reportajes sobre el Madrid literario e histórico.
*Protocolo Covid:",[''],Encuentro con autores 2022,1 hora 30 minutos,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/encuentro-marina-casado,https://www.lacasaencendida.es/storage/5895/responsive-images/13486-609f-encuentro_marina_casado_nt___detail_1600_900.jpg
2,Visitas guiadas a Poemas que nunca mostraré. Chiara Fumai 2007-2017,No definido,7 abr 2022,"La artista visual y comisaria independiente Raisa Maudit y la artista, escritora y directora Elena Gallén ofrecen un recorrido por la primera retrospectiva dedicada a la artista italiana Chiara Fumai (Roma, 1978 – Bari, 2017). La muestra pretende profundizar en el trabajo de una artista que, a través de su obra, ha desarrollado los lenguajes de la performance y la estética feminista del siglo XXI.","La visita con Raisa Maudit tiene lugar el 7 de abril y el recorrido con Elena Gallén el 28 de abril.
Visita con Raisa Maudit
7 de abril | 19 h | Salas B y C
A través de procesos multidisciplinares, Raisa Maudit recurre a múltiples sistemas de representación para analizar y mostrar las contradicciones y puntos ciegos de los relatos dominantes del sistema. Desde un planteamiento postanarquista y transfeminista construye un particular punto de vista en el que la cultura popular y las posibilidades performativas de la identidad -usando procesos de pensamiento no normativo tanto de conocimiento como disciplinar- resultan en obras poliédricas donde música, escenografía, ocultismo, performance, texto, teoría-ficción, escultura, instalación o comisariado se entremezclan para plantear otras realidades posibles que den una salida a esos puntos ciegos del sistema.
Desde 2014 dirige el espacio de arte contemporáneo, laboratorio especular y también editorial Storm And Drunk y ha escrito libros como , y . Desde 2020 es parte del grupo de investigación internacional Visionary Women Reseach Group, centrado en el estudio de mediumnidad, espiritualidades disidentes, feminismo, anarquismo y arte.",[''],Not in a group,1 hora 30 minutos,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/visitas-guiadas-poemas-nunca-mostrare-chiara-fumai-2007-2017,https://www.lacasaencendida.es/storage/5936/responsive-images/13542-609f-visitas_guiadas_poemas_nunca_mostrare_chiara_fumai_nt___detail_1600_900.jpg
3,Plantestein - Taller para familias,No definido,7 abr 2022,Taller de ilustración para imaginar En Familia la vegetación del futuro de la Comunidad de Madrid.,"Las plantas están íntimamente relacionadas y adaptadas a los contextos en los que viven. Diferentes mecanismos e interrelaciones han hecho posible su desarrollo en los lugares más inhóspitos, habitando prácticamente cualquier lugar del mundo. Las formas de sus semillas responden a los agentes que las dispersan: animales, viento, agua…Las interacciones entre plantas permiten la generación en condiciones favorables para el desarrollo de especies que, de otra manera, no podrían desarrollarse. Su capacidad de adaptación e interacción seguirán siendo clave en un futuro climático incierto, marcado por las situaciones climáticas y ambientales desconocidas.
En este taller, las familias imaginan, caracterizan y nombran especies vegetales surgidas al calor de unas condiciones climáticas hasta ahora desconocidas y crean un catálogo de plantas posibles que quizá formen parte de los ecosistemas madrileños en las próximas décadas.
Coordinado por:
Malú Cayetano, paisajista e ingeniera de montes. Interesada en metodologías participativas, el desbloqueo y la visibilización de los procesos naturales en contextos urbanos. Especialista en la generación de debates en torno a la posición del ser humano respecto a la biosfera, dentro o fuera, y el papel del arte como mediador entre ciudadanía, ecología y territorio, y como facilitador de la transición hacia una conciencia ecológica.",[''],"Salvajes, silvestres y espontáneas 2022",2 horas,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/plantestein-taller-familias,https://www.lacasaencendida.es/storage/5871/responsive-images/13464-609f-plantestein_taller_familias_nt___detail_1600_900.jpg
4,Más allá de buenas intenciones: la respuesta humanitaria en Ucrania,No definido,7 abr 2022,"La última sesión del ciclo Tres miradas a la guerra de Ucrania analiza los aspectos prácticos de la respuesta humanitaria: cómo se están coordinando los distintos actores, cuáles son los aspectos de la crisis que se están enfatizando desde España y cuál es la dimensión legal del conflicto y de la acción humanitaria.","Tras un mes de conflicto, ACNUR calcula que ya hay más de tres millones de personas refugiadas.
Además de los aspectos prácticos de la respuesta humanitaria, este encuentro pretende conversar sobre el trato que se ha dado a los corredores humanitarios, la protección del personal humanitario y los recursos existentes para rendir cuentas y enjuiciar las violaciones del derecho internacional cometidas por Rusia.
Participan:
Concepción Escobar, catedrática de derecho internacional público en la UNED y directora del Centro de Estudios y Difusión del DIH de Cruz Roja Española.
Vicente Raimundo Núñez-Flores, director de Programas Internacionales y Acción Humanitaria de Save the Children España.
Felipe Noya, vocal en la Junta de Gobierno de Humanitaria y Seguridad de La Coordinadora de ONGD.
Aitor Zabalgogeazkoa, responsable de la Unidad de Emergencias de MSF-España.",[''],Comprender,1 hora 30 minutos,No details,"['ONLINE', 'ENCUENTROS']",https://www.lacasaencendida.es/contenido-online-actividades/mas-alla-buenas-intenciones-respuesta-humanitaria-ucrania,https://www.lacasaencendida.es/storage/5943/responsive-images/13551-609f-mas_alla_buenas_intenciones_ucrania_nt___detail_1600_900.jpg
5,Proyecto Cuidadorxs Invisibles,No definido,7 abr - 30 sep 2022,"Proyecto artístico protagonizado por personas que viven en el barrio de Lavapiés y que se encuentran al cuidado de personas con enfermedades degenerativas. A través de varios microtalleres y actividades, se adquieren herramientas que contribuyen a enriquecer la experiencia cotidiana del espacio del hogar, en el que pasan la mayor parte del día junto con la persona cuidada.","El proyecto se desarrolla a través de varios microtalleres que imparten profesionales de diferentes disciplinas como Javier Aquilué, artista sonoro; Paz Martín Rodríguez, arquitecta; María Jerez, artista visual y coreógrafa, y Su Garrido Pombo, cantante. Estos talleres se acompañan de actividades semanales diseñadas por Marta Fernández Calvo, artista visual y autora del proyecto, y Daniela Ruiz Moreno, comisaria y coordinadora.
A partir de todos los materiales generados en el taller se elaboran una serie de piezas sonoras que pasan a formar parte de un archivo que pone en valor la voz de las personas que cuidan. La presentación de estas piezas sonoras se hará durante el Festival Internacional de Artes Escénicas IDEM 2022.
Las actividades artísticas tienen en cuenta la disponibilidad temporal de este colectivo, que difícilmente puede acudir a reuniones o eventos. Para facilitar su participación, los talleres se desarrollan de forma virtual a través del uso de herramientas y plataformas digitales como WhatsApp, YouTube y correo electrónico.
También tiene en cuenta que cada persona llega al taller con capacidades diferentes. Por eso, Cuidadorxs Invisibles cuenta con un equipo de profesionales provenientes de diferentes disciplinas que acompañan a lxs cuidadorxs y a sus familias en las diferentes fases y actividades del taller.",[''],Not in a group,,No details,"['PROYECTO', 'ENCUENTROS']",https://www.lacasaencendida.es/proyecto/proyecto-cuidadorxs-invisibles,https://www.lacasaencendida.es/storage/5971/responsive-images/13609-609f-cuidadorxs_invisibles_nt.jpg___detail_1600_900.jpg
6,Salvajes en la Terraza,No definido,6 abr 2022,"Tres mujeres artistas filtran, a través de sus estomas, el concepto de flora espontánea y lo deconstruyen en forma de música, versos y performance.","Bellas, caóticas, resilentes, incomprendidas, anónimas, colonizadoras o desbordantes son algunos de los calificativos que pueden definir la vegetación silvestre que, de manera espontánea, se infiltra en las grietas de las aceras.
Y también inspiradoras, muy inspiradoras. Por ello el ciclo invita a tres artistas a que se lleven a su terreno, a su descampado creativo, lo que les sugiere esta flora efímera que brota colorida y con fuerza en primavera y va languideciendo cuando notamos el frío en nuestros huesos.
Mara Carver es poeta y artista visual; la identidad artística de Carmen Berasategui. Es fundadora y directora de NUDO, festival de poesía desatada en Barcelona. Autora de los poemarios Donde planean los pájaros (Piezas azules, 2019) y Cosas asombrosas ocurrirán hoy (Olifante, 2022). Participa en la antología La casa del poeta (Trampa, 2021) junto a 110 poetas españoles más y en las obras colectivas ilustradas de El romancero gitano, de Lorca, y Luces de Bohemia, de Valle-Inclán (Mil editores).
Ecléctica ha participado en varios slams como el de Lavapiés, Madrid o Móstoles, quedando campeona de Poetry Slam Sur en 2020. Tiene un canal de YouTube (ecléctica poesía) donde sube sus poemas recitados. Fue ganadora en la categoría de Autor en en el Hummus Film Festival 2020 de La Casa Encendida. Actualmente está escribiendo un libro de poesía.",[''],"Salvajes, silvestres y espontáneas 2022",1 hora,No details,"['CONCIERTOS', 'ENCUENTROS', 'ESCÉNICAS']",https://www.lacasaencendida.es/conciertos/salvajes-terraza,https://www.lacasaencendida.es/storage/5870/responsive-images/13463-609f-salvajes_terraza_nt___detail_1600_900.jpg
7,'Showcooking' silvestre,No definido,5 abr 2022,"¿Sabías que se pueden elaborar platos con amapolas, diente de león, acedera o caléndula silvestre? En esta muestra gastronómica puedes descubrir cómo hacerlo.","Te proponemos un viaje teórico y sensorial donde descubrir las grandes virtudes culinarias de las especies silvestres y donde aprender a cocinar platos como pesto de ortiga o mayonesa de rabaniza.
El showcooking silvestre es un taller demostrativo de cocina que comienza con un aperitivo teórico y que tiene como objetivo transmitir los conocimientos de las plantas silvestres.
Se explica de forma detallada cada especie y producto que posteriormente se va a utilizar para cocinar las recetas. En esta explicación se destacan las características culinarias, así como las propiedades organolépticas, nutricionales y las posibilidades de maridaje.
El taller finaliza con una pequeña degustación de los platos cocinados durante el showcooking. 
La guía de este viaje sensorial es Amanda Bataller, del Colectivo Eixarcolant, que tiene por objetivo fomentar un modelo de producción, distribución, consumo de alimentos y desarrollo socioeconómico más sostenible, ético y justo, empleando como herramienta la recuperación de las especies silvestres comestibles y las variedades agrícolas tradicionales.",[''],"Salvajes, silvestres y espontáneas 2022",2 horas,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/showcooking-silvestre,https://www.lacasaencendida.es/storage/5869/responsive-images/13462-609f-showcooking_silvestre_nt___detail_1600_900.jpg
8,Poner fin a la guerra: negociación y mediación entre bombas,No definido,5 abr 2022,"El segundo encuentro del ciclo Tres miradas a la guerra de Ucrania analiza el impacto de las acciones de mediación, sus avances, cuál ha sido la posición de las instituciones europeas y euroatlánticas y qué opciones tienen los países europeos para tomar una posición proactiva y conseguir la paz.","Si bien no se han producido avances significativos de cara a un alto el fuego definitivo, desde el inicio de las negociaciones entre el gobierno ruso y ucraniano el pasado 28 de febrero en Gómel (Bielorrusia) se han dado pasos para la apertura de corredores humanitarios y el mantenimiento de conversaciones bilaterales. Asimismo, se ha puesto sobre la mesa una de las reclamaciones de Moscú, la neutralidad de Ucrania.
Los negociadores rusos hablan de los modelos austriaco o sueco mientras que la contraparte ucraniana busca un modelo sui generis que, a diferencia del Memorándum de Bucarest (que establecía el desarme nuclear de Ucrania, Bielorrusia y Kazajistán a cambio de garantías de seguridad), establezca obligaciones legales para los países garantes del acuerdo.
En el transcurso del conflicto distintos países han ofrecido y realizado papeles de mediación, como Israel, China o Turquía con el Foro de Diplomacia de Antalya. ¿Cuál ha sido el impacto de las acciones de estos actores? ¿Qué avances se han conseguido? ¿Cuál ha sido la posición de las instituciones europeas y euroatlánticas?",[''],Comprender,1 hora 30 minutos,No details,"['ONLINE', 'ENCUENTROS']",https://www.lacasaencendida.es/contenido-online-actividades/poner-fin-guerra-negociacion-mediacion-bombas,https://www.lacasaencendida.es/storage/5942/responsive-images/13550-609f-poner_fin_guerra_negociacion_mediacion_bombas_nt___detail_1600_900.jpg
9,La belleza inesperada,No definido,4 abr 2022,"El paisajista y docente J. Ramón Gómez Fernández propone un nuevo modelo de parques y jardines que devuelvan el protagonismo a la flora espontánea, donde se creen hermosas e inesperadas combinaciones temporales que contrasten con la estructura vegetal ya establecida. Un modelo de mantenimiento sostenible, opuesto a las plantaciones rígidas, carentes de estacionalidad, previsibles y estáticas de las ciudades.","Las hierbas espontáneas han pasado muchas veces inadvertidas. Y ello a pesar de su cercanía. Alcorques, fisuras del pavimento, medianas y hasta fachadas de edificios son sus lugares de insistente reconquista. Una y otra vez son desterradas de los entornos más cercanos; y una y otra vez surgen al mínimo descuido.
De ellas ni tan siquiera conocemos sus nombres, sus historias o sus secretos. Y, sin embargo, en su mayor parte son hermosas, portan valiosas cualidades o poseen sorprendentes adaptaciones. No existe una de estas humildes hierbas que no tengan alguna apasionante anécdota. Simplemente son perseguidas como proscritas por su rebeldía. Tal vez, por no ajustarse a los cánones de pulcritud impuestos en las metrópolis actuales. Las ciudades, ajenas a lo que no es hormigón, llevan demasiado tiempo aisladas de la naturaleza y son incapaces de respetar hasta los más pequeños retales de espontaneidad, auténticos núcleos de biodiversidad.
No hay que olvidar que estas hierbas son también especies valiosas por su fomento de la biodiversidad urbana y por su capacidad de recuperación de las áreas altamente perturbadas. Se trata de especies pioneras, aquellas que comienzan a reparar lo que nosotros hemos alterado. En definitiva, las encargadas de despertar al bosque dormido que se esconde en la metrópolis.",[''],"Salvajes, silvestres y espontáneas 2022",1 hora,No details,"['ONLINE', 'ENCUENTROS']",https://www.lacasaencendida.es/contenido-online-actividades/belleza-inesperada,https://www.lacasaencendida.es/storage/5868/responsive-images/13461-609f-belleza_inesperada_nt___detail_1600_900.jpg
