,title,artist,date,description,text,tags,group,Duración,event,category,url,image
0,"""everlasting softness""",Twins Experiment,25 ene 2019,"everlasting softness es el tercer proyecto de Twins Experiment, en el que se quiere propiciar un espacio blando para ejercitar la escucha de la materia y su agencia. Un espacio sensorial ficcionado donde todos los cuerpos tengan la misma importancia y la materia sirva como materialización de la tercera cosa que se produce entre dos.","La práctica que Twins Experiment está desarrollando implica sus cuerpos y su relación con materiales blandos. La singularidad de los materiales elegidos mantiene una estrecha relación con algunos conceptos centrales en su trabajo como colectivo: porosidad, flexibilidad, afectación y mutabilidad; así como con algunas características de la sociedad actual en la que nuestras vidas tienen una condición líquida, es decir, no mantienen por mucho tiempo la misma forma. En esta muestra de proceso se plantean diferentes preguntas: ¿cómo ha de moverse nuestro cuerpo para ser acompañado por la materia?, ¿cómo respetar las singularidades de cada cuerpo?, ¿cómo es este ecosistema que se está generando?
La actividad tendrá lugar en el CA2M Centro de Arte Dos de Mayo.",[''],Acento. Muestra del programa Artistas en residencia 2018,1 hora,No details,['ESCÉNICAS'],https://www.lacasaencendida.es/escenicas/everlasting-softness-twins-experiment,https://www.lacasaencendida.es/storage/3821/responsive-images/9634-609f-acento_2019_everlasting_softness_nt___detail_1600_900.jpg
1,Introducción para una economía solidaria y humana,No definido,25 ene 2019,"Impartida por José Manuel Naredo, profesor ad honorem en la Universidad Politécnica de Madrid.","La agroecología puede ser definida como “la disciplina científica que enfoca el estudio de la agricultura desde una perspectiva ecológica, pretendiendo construir un espacio teórico que permita analizar los procesos agrarios desde una perspectiva holística (global), incluyendo la perspectiva del espacio y la del tiempo, y considerando ensamblados los problemas sociales, económicos y políticos”.
Una ciencia económicamente justa y solidaria, en cuanto valora la multifuncionalidad de las parcelas agrarias, especialmente en lo relativo a los servicios que presta a la naturaleza los campos cultivados: manteniendo el paisaje, preservando la biodiversidad, conservando los suelos, sosteniendo una población, su cultura, sus ritos y sus tradiciones, además del valor que puedan obtener sus productos en los mercados.
Una ciencia socialmente ética, en la que aparece, como una inexcusable obligación por parte de cualquier investigador vinculado, introducir tales consideraciones en sus perspectivas de análisis.
Por último la agroecología se define agronómicamente sostenible, puesto que se dota de los instrumentos científicos y técnicos necesarios para el análisis y de diseños de sistemas agrarios perdurables.",[''],Agroecología. Marco teórico de los enfoques agroecológicos 2019,2 horas,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/introduccion-economia-solidaria-humana,https://www.lacasaencendida.es/storage/3785/responsive-images/9581-609f-rehumanizacion_economia_raices_ideologicas_nt___detail_1600_900.jpg
2,Agroecología. Marco teórico de los enfoques agroecológicos 2019,No definido,25 ene - 22 feb 2019,,,[''],Not in a group,,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/agroecologia-marco-teorico-enfoques-agroecologicos-2019,https://www.lacasaencendida.es/storage/6382/responsive-images/9705-609f-agroecologia_marco_teorico_nt___detail_1600_900.jpg
3,"""Rojo pandereta""",Javier Vaquero y Oihana Altube,24 ene 2019,Rojo pandereta es una pieza de danza que toma como referencia la puesta en escena en 1869 de Don Quijote de la Mancha por el coreógrafo francés Marius Petipa. Un marco a partir del cual reflexionar y cuestionar los paradigmas coreográficos que como bailarinas han atravesado y construido nuestras identidades corporales.,"Rojo pandereta toma como referencia la obra literaria de Miguel de Cervantes, Don Quijote de la Mancha (1605-1615) y su puesta en escena en 1869 por el coreógrafo Marius Petipa con el Ballet Don Quixot en el Teatro Bolshói de Moscú (Rusia).
El proceso de creación de Rojo pandereta nace del deseo de cuestionar los paradigmas coreográficos que como bailarinas han atravesado y construido nuestras identidades corporales (nacionales, de género, de raza y profesionales) a lo largo de nuestras carreras. De esta manera pretende evidenciar que la danza, además de ser una manifestación estética, ha servido y sirve para escriturar las ideologías, identidades, emociones, simbolismos y fisiologías de los cuerpos; y que, a su vez, es un medio de constitución política, social, cultural y económica.",[''],Acento. Muestra del programa Artistas en residencia 2018,1 hora,No details,['ESCÉNICAS'],https://www.lacasaencendida.es/escenicas/rojo-pandereta-javier-vaquero-oihana-altube,https://www.lacasaencendida.es/storage/3819/responsive-images/9630-609f-acento_2019_rojo_pandereta_nt___detail_1600_900.jpg
4,“Extraoceanic” de Javier Marquerie Thomas,No definido,23 ene 2019,"Ante el avance del liderazgo conservador, la falta de apoyo a las minorías y la falta de preocupación por el cambio climático, las comunidades queer deciden unirse en busca de otro lugar donde habitar. La admiración hacia las criaturas de las zonas abisales del océano les llevó a unirse a ellas y realizar una metamorfosis a la especie Extraoceanic.","Agotadas al contemplar la extensión del liderazgo conservador, al contemplar la falta de apoyo institucional hacia minorías que no encajan en la narrativa patriarcal blanco-cristiana, junto a la desaparición de la preocupación por el cambio climático, las comunidades queer y aliadas de todo el mundo decidimos unirnos en busca de otro lugar donde habitar. En esta mirada hacia el futuro, el género fue transgredido y el posthumanismo se volvió ubicuo. La admiración hacia las criaturas de las zonas abisales del océano, nos llevó a unirnos a ellas y realizamos nuestra metamorfosis a la especie Extraoceanic. Durante un tiempo vivimos nuestra utopía queer en aquellas profundidades violetas oscuras donde no llega el sol, pero al llevar años ingiriendo rocas y microfibras de plástico, nuestra vida consciente acabó, dejando nuestros cuerpos de plástico en una existencia eterna.
El plástico se conocía como el punto clave en la historia que marcó un antes y un después en el antropoceno. Se conocía como el gran desastre para el medio ambiente, fruto de la inconsciencia de la raza humana. El plástico será recordado como la causa de la destrucción de nuestra especie. El plástico fue nuestra esperanza, produjo un sentimiento de comunidad, fue un parentesco. Somos flalato dietilo, somos plomo, somos cadmio y somos mercurio. El plástico somos nosotras. Nos pertenece y condiciona nuestra existencia. Somos un eterno cuerpo queer, un hiperobjeto de camino a un futuro certero.",[''],Acento. Muestra del programa Artistas en residencia 2018,1 hora,No details,['ESCÉNICAS'],https://www.lacasaencendida.es/escenicas/extraoceanic-javier-marquerie-thomas,https://www.lacasaencendida.es/storage/3820/responsive-images/9631-609f-acento_2019_nt___detail_1600_900.jpg
5,"""Notación y transmisión del movimiento de una Ruda""",Aniara Rodado,23 ene 2019,"La notación del movimiento de la Ruta Graveolens, las investigaciones reciente sobre los sentidos de las plantas y sus capacidades biológicas para adaptar su metabolismo a los cambios ambientales son la materia que alimenta este proyecto, que se teje desde narrativas de especulativas no antropocéntricas.","La danza se lleva a cabo en una instalación que permite sucesivos cambios atmosféricos. Buscamos tocar la piel del público, creando un teatro climático donde los dispositivos tecnológicos –analógicos o digitales– generen espacios que enriquezcan y transformen nuestro sensorium y, por lo tanto, nuestra percepción del entorno.
Un largo metraje cuya exclusiva protagonista es la Ruda, constituye el trabajo de luz e imagen. Este se basará en los time-lapse usados para el análisis del movimiento de la Ruda, así como en nuestra experiencia de cohabitación con la misma. La danza humana se articulará en torno a las fracturas temporales que existen entre la vida vegetal y la vida humana.",[''],Acento. Muestra del programa Artistas en residencia 2018,1 hora,No details,['ESCÉNICAS'],https://www.lacasaencendida.es/escenicas/notacion-transmision-movimiento-ruda-aniara-rodado,https://www.lacasaencendida.es/storage/3823/responsive-images/9637-609f-acento_2019_notacion_ruda_nt___detail_1600_900.jpg
6,Ciclo de conferencias III Premio Cervezas Alhambra de Arte Emergente,No definido,23 ene 2019,"Durante los meses de enero y febrero os invitamos de la mano de Cervezas Alhambra y su Premio de Arte Emergente, a disfrutar de una serie de conferencias en las que, artistas, artesanos, comisarios y expertos del mundo del arte como, David Barro, Teresa Lanceta, Bea Espejo, la Real Fábrica de Cristales de La Granja o el Centro Cerámica Talavera, se reúnen para hablar de los diferentes usos de la artesanía, la importancia de los procesos de creación artesanal y su inclusión en los lenguajes del arte contemporáneo. Las charlas estarán dirigidas por la comisaria del Premio Cervezas Alhambra de Arte Emergente, Alicia Ventura Bordes.","Miércoles 23 de enero.
""De aquellos barros estos lodos"", con Bea Espejo (crítica de arte y comisaria).
La cerámica se ha convertido en el gran borrador donde los artistas ensayan relecturas de lo popular tensando la tradición y buscando nuevas alternativas en el campo de la creación. Cada vez son más los artistas que indagan en las posibilidades del barro y su relación con el lenguaje y el pensamiento. Explorarlas exige contextualizar su significado y los roles históricos de su práctica formal. Esta conferencia hará un repaso por algunos referentes de este medio y el acercamiento, a veces directo y otras transversal, que muchos artistas tienen con la tradición y la artesanía. Presenta: Alicia Ventura, responsable de la Colección DKV. Charla posterior entre Bea Espejo y Teresa Solar, artista. Las charlas estarán dirigidas por la comisaria del Premio Cervezas Alhambra de Arte Emergente, Alicia Ventura Bordes.
Jueves 24 de enero.
""Formas Inéditas, procesos e incoherencias en el arte, la artesanía y el diseño"", con David Barro (director de Fundación DIDAC y comisario de exposiciones).",[''],Not in a group,2 horas 30 minutos,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/ciclo-conferencias-iii-premio-cervezas-alhambra-arte-emergente,https://www.lacasaencendida.es/storage/3839/responsive-images/9663-609f-ciclo_3ed_premio_alhambra_arte_emergente_nt___detail_1600_900.jpg
7,"""Guided Tour""",Esther Rodríguez-Barbero,23 ene 2019,"¿Hay algún espacio que te haya generado especial curiosidad? Una puerta que esté cerrada a la que no puedas acceder, por ejemplo. ¿Te gustaría saber lo que hay detrás?","¿Has estado aquí antes?¿Conoces este edificio?
¿Lo conoces mucho o poco? ¿conoces su/s historia/s?
¿Hay algún espacio que te haya generado especial curiosidad?
Una puerta que esté cerrada a la que no puedas acceder, por ejemplo.
¿Te gustaría saber lo que hay detrás?
Guided Tour es un recorrido por las partes no visibles del edificio de La Casa Encendida. Una invitación a pensar/activar el espacio juntos, a descubrir lo que está detrás, lo que no se ve a simple vista, sus historias, su funcionamiento y el lugar que ocupa en la memoria colectiva.
Con la colaboración de: Lara Brown.
Gracias a las personas que han compartido historias y encuentros en La Casa Encendida: Leticia, Begoña, María, Antonio, Miguel, Sergio, Mónica, Bárbara, Cristian, Felipe, Ana, Óscar, Tania, Miriam, Leire, Cari, Raúl, Elizabeth, Cristina, Clara, Ana, Nacho, Lautaro, Lucía, Frodo, Pane, Julián, Marina, Christopher, etc.",[''],Acento. Muestra del programa Artistas en residencia 2018,1 hora,No details,['ESCÉNICAS'],https://www.lacasaencendida.es/escenicas/guided-tour-esther-rodriguez-barbero,https://www.lacasaencendida.es/storage/3822/responsive-images/9636-609f-acento_2019_guided_tour_nt___detail_1600_900.jpg
8,El Muro. Máquinas,Alfonso Sánchez,21 ene - 16 abr 2019,Partiendo de un taller inclusivo con personas con discapacidad intelectual hemos querido mostrar la obra generada por el artista Alfonso Sánchez en El Muro,"En La Casa Encendida tenemos el compromiso de lograr la Accesibilidad Universal en todos los ámbitos posibles de nuestra programación para que todas las personas participen en las actividades y disfruten de los servicios que ofrecemos.
En el año 2009, el Laboratorio de Fotografía de La Casa Encendida incorporó a sus actividades una nueva línea de programación y formación inclusiva. Una manera de integrar a las personas con discapacidad en el proceso fotográfico mostrándoles, además, las enormes posibilidades plásticas, comunicativas y experimentales que ofrece tanto la fotografía química como la digital.
Desde entonces, personas con y sin discapacidad comparten espacio donde experimentar, compartir y crecer a nivel personal y artístico logrando, de esta manera, la plena inclusión.
Alfonso Sánchez Hidalgo (Madrid, 1971) es un apasionado por las nuevas tecnologías, las máquinas y los mecanismos que las activan. Sin formación académica y ajeno al mundo artístico, Alfonso se ha sumergido en las entrañas de La Casa Encendida para mirar las máquinas con las que funciona día a día. El resultado es una serie de fotografías que muestran las tuberías, las mesas de sonido o los teclados revelando el mundo interior de los artificios, sus movimientos y colores, como si los mecanismos cobrasen vida.",[''],El Muro,,No details,['EXPOSICIONES'],https://www.lacasaencendida.es/exposiciones/muro-maquinas-alfonso-sanchez,https://www.lacasaencendida.es/storage/4502/responsive-images/10951-609f-muro_maquinas_alfonso_sanchez_nt___detail_1600_900.jpg
9,Joyas de la animación de Europa del Este,No definido,29 dic 2018,"Este ciclo de cine dirigido a los más pequeños (y a los no tan pequeños) explora los años dorados de la animación de países como Rusia, Estonia o la República Checa.","Se trata de una oportunidad única para que toda la familia disfrute de una serie de piezas que surgieron a partir de la década de 1960 y que siguen sorprendiendo por la magia atemporal que desprenden sus imágenes.
Lapiceros [Värvipliiatsid], de Avo Paistik. Estonia, 1973. 9’
Tres amigos (el color rojo, el color amarillo y el color azul) pasan un bonito día de playa, cuando de pronto aparece el caótico color negro para intentar aguarles la fiesta. Lapiceros es una narración simple pero llena de sorpresas, acompañada de la maravillosa música de Arvo Pärt, músico precursor del minimalismo.
Štaflík y Špagetka. Maestros del baile [Štaflík a Špagetka. Mistri dances], de Václav Bedřich. República Checa, 1988. 8’
Los inseparables amigos Štaflík y Špagetka aprenden a bailar de la mano de distintos animales. Como siempre, su vecino el cuervo aparecerá en escena para ponérselo difícil.
La última cacería [Poslednyaya okhota], de Valentin Karavaev. Rusia, 1982. 10’",[''],Libros Amigos 2018,1 hora,No details,['CINE'],https://www.lacasaencendida.es/cine/joyas-animacion-europa,https://www.lacasaencendida.es/storage/3769/responsive-images/9547-609f-libros_amigos_2018_joyas_animacion_europa_este_nt___detail_1600_900.jpg
