,title,artist,date,description,text,tags,group,event,category,url,image,Duración
0,Chocolate: una revista homenaje a Diego Lara,No definido,7 jun - 14 jun 2012,"El hijo del diseñador, Bruno Lara, participa en el taller en torno a una publicación ideada por su padre que nunca vio la luz.",,[''],RADIO - Archivo de entrevistas,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/chocolate-una-revista-homenaje-diego-lara,https://www.lacasaencendida.es/storage/11187/responsive-images/2085-609f-chocolate_revista_homenaje_diego_lara_th_1___detail_1600_900.jpg,
1,"Presentación del libro ""Aki Kaurismäki"" de Pilar Carrera",No definido,7 jun 2012,"De Aki Kaurismäki (1957), cineasta finlandés de prolija filmografía, puede decirse, sin exagerar, que es una rara avis en los dominios cinematográficos
Duración: 1 hora","Entre el estilizado realismo y el crudo surrealismo, sus pe-lículas son ejemplos de precisión, de economía narrativa y de un envidiable don para contar historias con las imágenes, los gestos y las palabras justas. Este libro quiere ser tanto una semblanza y una tentativa de interpretación de este autor esquivo, como un recorrido por su extensa producción.
Pilar Carrera es Profesora titular y Vicedecana de Periodismo de la Universidad Carlos III de Madrid y miembro de Grupo de investigación PASEET (Periodismo y Análisis social: Evolución, Efectos y Tendencias) de la UC3M, dedicado al análisis de las tendencias del periodismo en España, especialmente del periodismo digital.",[''],Not in a group,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/presentacion-del-libro-aki-kaurismaki-pilar-carrera,https://www.lacasaencendida.es/storage/11322/responsive-images/2235-609f-aki_kaurismaki_pilar_carrera_th___detail_1600_900.jpg,1 hora
2,"Informe ""Consumo y estilos de vida. Cambio Global España 2020/2050""",No definido,7 jun 2012,"Durante el acto se presentarán las conclusiones de una investigación de dos años de duración sobre la problemática del consumo, acordando cuestiones como su relación con los imaginarios y las percepciones sociales, las dinámicas culturales y educativas, las políticas de incentivos económicos, las experiencias emergentes de la sociedad civil, los impactos ambientales o la equidad social…
Duración: 1 hora","Al tratar el cambio global y enfrentar las problemáticas asociadas, el consumo adquiere una centralidad inevitable. Expertos en consumo y estilos de vida señalan que los esfuerzos por desarrollar sistemas de consumo que sean marcadamente más eficientes y efectivos han sido escasos y apenas se han dado pasos prácticos hacia materializar su implementación.
Aunque creemos que la transición hacia la sostenibilidad no se construye exclusivamente desde el consumo, sí que tenemos claro que éste ha de jugar un papel central. Consideramos que si no miramos el consumo de frente, resituándolo en el debate político, si no forma parte del corazón de nuestra visión y acción, si no entendemos sus mecanismos y simbiosis, si lo seguimos tomando como variable dada o totalmente dependiente de factores inasibles… la transición hacia la sostenibilidad no tendrá lugar. Creemos que en el entramado político institucional hay un enorme diferencial entre el discurso y la implementación de políticas respecto al papel del consumo en la senda hacia la sostenibilidad, y que, para reducir dicho diferencial, la investigación estratégicamente orientada debe jugar un papel clave. Ayudar a reducir esa brecha, centrándonos en el ámbito español, es el objetivo último de estudio que será presentado.",[''],Not in a group,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/informe-consumo-y-estilos-vida-cambio-global-espana-20202050,https://www.lacasaencendida.es/storage/11111/responsive-images/1960-609f-consumo_estilo_vida_th___detail_1600_900.jpg,1 hora
3,"Mesa redonda sobre la exposición ""Agua, ríos y pueblos""",No definido,6 jun 2012,"En el contexto de la exposición “Agua, ríos y pueblos” esta mesa redonda tratará tres temas: el agua como un bien común y un derecho humano, la gestión de los sistemas de abastecimiento y saneamiento analizando concretamente la situación en España y, por último, el impacto de las grandes infraestructuras, en la que se analizará el caso del trasvase Tajo-Segura.
Duración: 1 hora 30 minutos","A través de 18 estudios de caso emblemáticos, la exposición “Agua, ríos y pueblos” está articulada en seis ejes principales: Desplazamientos de población por grandes presas; Derechos humanos, violencia y agua; Catástrofes evitables y vulnerabilidad de los más pobres; Degradación de ecosistemas y hambre; Privatización y derecho humano al agua; y Victorias y alternativas exitosas.
Con el objeto de poner en valor el contenido de la exposición, pero centrándola en lo posible en el caso español, se han escogido tres temas directamente relacionados con los ejes anteriores para ser debatidos en una mesa redonda. Concretamente, se tratará el agua como un bien común y un derecho humano, plenamente reconocido y asumido por la Asamblea General Naciones Unidas el 28 de julio de 2010, y por el Consejo de Derechos Humanos de esa institución. El caso de la gestión de los sistemas de abastecimiento y saneamiento será otro tema del debate, en el que se analizará la situación en España reviando la importancia de e incidencia que han tenido los procesos de privatización.
Por último, también se abordará el tema de las grandes infraestructuras y los impactos que generan, desarrollando el caso del trasvase Tajo-Segura.
Temas y ponentes",[''],Not in a group,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/mesa-redonda-sobre-la-exposicion-agua-rios-y-pueblos,https://www.lacasaencendida.es/storage/10994/responsive-images/1831-609f-conferencia_expo_agua_rios_pueblos_th___detail_1600_900.jpg,1 hora 30 minutos
4,Conferencia de Esther Madudu,No definido,5 jun 2012,"Cada año mueren 200.000 mujeres durante el embarazo y el parto en el África Subsahariana. Esta conferencia pretende concienciar a la sociedad occidental sobre la necesidad de formar más matronas para evitar así la muerte de mujeres que son la clave del desarrollo social y económico en África.
Duración: 1 hora 30 minutos","Durante las últimas décadas del siglo XX se han incorporado grandes avances científicos que han tenido un reflejo en la mejora de la salud y en el aumento de la esperanza de vida. Sin embargo, en distintas regiones de África se produce una alta tasa de mortalidad maternal, como consecuencia de la falta de atención prenatal y los partos domiciliarios sin atención sanitaria cualificada.
Los adelantos en la reducción de la mortalidad y morbilidad maternas dependen de la mejora del acceso de las mujeres a servicios de salud reproductiva de calidad y la utilización adecuada de los mismos.
En pleno siglo XXI, se nos presenta un reto necesario: el derecho humano a la salud, tan vulnerado en el continente africano y en otras zonas del mundo en desarrollo.
El poder para una transformación duradera de la salud en África reside en sus comunidades y en la labor de mujeres como Esther Madudu.
La ponente
Esther Madudu, matrona del Centro de Salud de Atiriri, Katione (Uganda), en el que desarrolla diversas funciones que incluyen los servicios prenatales (revisión médica de las madres, asesoramiento a las madres VIH-positivas, educación nutricional, prevención de la transmisión de VIH de la madre al niño) y los servicios de maternidad, incluyendo el parto y el posparto.",[''],"Ciclo ""Los Retos del Siglo XXI: otro mundo es necesario""",No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/conferencia-esther-madudu,https://www.lacasaencendida.es/storage/11360/responsive-images/2295-609f-salud_mujer_africa_madudu_th_1___detail_1600_900.jpg,1 hora 30 minutos
5,Concierto de Atom TM,No definido,3 jun 2012,"No es exagerado considerar al músico alemán Uwe Schmidt (Atom TM) como uno de los más imaginativos y prolíficos talentos de la electrónica mundial en las dos últimas décadas.
Duración: 1 hora","No es exagerado considerar al músico alemán Uwe Schmidt (Atom TM) como uno de los más imaginativos y prolíficos talentos de la electrónica mundial en las dos últimas décadas. Desde 1988 ha publicado en sellos de culto como Raster-Noton, Sähko, Mille Plateaux, Rough Trade, Rephlex, Fax, o el suyo propio, Rather Interesting, bajo innumerables alias, entre los que destacan (por más conocidos) Lassigue Bendthaus, Atom Heart, Lisa Carbon Trio y los actualmente activos Señor Coconut y Atom TM. Además de colaboraciones con importantes músicos de la talla de Haruomi Hosono (Yellow Magic Orchestra), Bill Laswell, Tetsu Inoue, Burnt Friedman (como Flanger), Pink Elln, Pete Namlook… Incluso su álbum Liedgut (Raster-Noton, 2009) contó con la colaboración excepcional de Florian Schneider (Kraftwerk).
Uwe ha desarrollado una visión musical innovadora, totalmente libre, y muy personal, tocando a su manera estilos muy variados: desde pura experimentación digital, acid-techno, tecno pop, EBM, lounge y jazz electrónico... hasta sus populares versiones pseudo-latinas de éxitos de Kraftwerk o la Y.M.O.
Atom TM regresa a La Casa Encendida tras su memorable actuación de hace más de dos años, presentando nuevos temas de su recientísimo disco para Raster-Noton, Winterreise, que puede entenderse como la secuela de Liedgut.",[''],Soundays,No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/concierto-atom-tm,https://www.lacasaencendida.es/storage/11112/responsive-images/1962-609f-soundays_atom_tm_th___detail_1600_900.jpg,1 hora
6,Concierto de Alondra Bentley,No definido,3 jun 2012,"La artista, una británica de Lancaster que llegó de niña a Murcia, siempre ha estado fascinada por el mundo mágico de los cuentos infantiles, tanto es así que su repertorio habitual incluye canciones como “The Hungry Caterpillar” o “Sugarman”, inspiradas en clásicos de la literatura infantil.
Duración: 1 hora","Traemos a La Caja de Música a Alondra Bentley con un set muy especial. La artista, una británica de Lancaster que llegó de niña a Murcia, siempre ha estado fascinada por el mundo mágico de los cuentos infantiles, tanto es así que su repertorio habitual incluye canciones como “The Hungry Caterpillar” o “Sugarman”, inspiradas en clásicos de la literatura infantil. En ocasiones anteriores y bajo el título “Alondra Bentley nos cuenta un cuento: Flinta, el guardián de la orilla”, ha ofrecido su concierto-cuentacuentos especial para niños en escenarios como el festival gallego Lolapop o la actuación anterior años atrás en nuestra Caja de Música. Una de sus actividades preferidas cuando no está viajando de gira es dedicar parte de su tiempo a contar cuentos en inglés alternados con canciones y juegos en una tienda infantil madrileña. Actualmente, se encuentra inmersa en la preparación de una colección de canciones para niños que verá la luz próximamente.",[''],En Familia (mayo y junio 2012),No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/concierto-alondra-bentley,https://www.lacasaencendida.es/storage/11607/responsive-images/2586-609f-en_familia_alondra_bentley_junio_2012_th___detail_1600_900.jpg,1 hora
7,De caballeros,Adrián Orr; y El señor,2 jun - 3 jun 2012,Coloquio con los directores tras la proyección,"Los directores
Adrián Orr (1981), licenciado en Comunicación Audiovisual por la Universidad Complutense de Madrid, cursó un año en la Escuela de Cine de Lisboa (ESTC). Actualmente, trabaja como ayudante de dirección en largometrajes, cortometrajes y publicidad. Las hormigas (2007), su primer cortometraje documental, participó en Documenta Madrid, Zinebi y otros festivales nacionales de documental. De caballeros, es su segundo cortometraje como director.
Juan Cavestany (1967) es guionista, director y autor teatral. Ha escrito los guiones de Los lobos de Washington (Mariano Barroso, 1999) y Guerreros (Daniel Calparsoro, 2002), entre otros. En 2004 salta a la dirección de largometrajes con El asombroso mundo de Borjamari y Pocholo, al que siguen Gente de mala calidad (2008) y Dispongo de barcos (2010), una propuesta radical que marca una ruptura en su forma de entender el cine. Como autor teatral presentó con éxito en 2010 su texto sobre el mítico boxeador Urtain. La obra, dirigida por Andrés Lima, fue la gran vencedora en la edición anual de los premios Max.",[''],Cine contemporáneo: mayo - junio,No details,['CINE'],https://www.lacasaencendida.es/cine/caballeros-adrian-orr-y-el-senor-juan-cavestany,https://www.lacasaencendida.es/storage/11109/responsive-images/1958-609f-cine_contemporaneo_caballeros_th_1___detail_1600_900.jpg,
8,Concierto de Jero Romero,No definido,2 jun 2012,"Jero Romero es una de las figuras claves del pop nacional de la última década, gracias a su trabajo como compositor y cantante de los desaparecidos The Sunday Drivers.
Duración: 1 hora","Jero Romero es una de las figuras claves del pop nacional de la última década, gracias a su trabajo como compositor y cantante de los desaparecidos The Sunday Drivers. Tras dicha separación, el músico decidió continuar su camino en solitario. A finales de 2011, se propuso editar un primer álbum, esta vez en castellano, y acudió al sistema de crowdfunding o micromecenazgo para financiarlo… y en un único día de aportaciones, el presupuesto estaba ya muy superado. Cabeza de León salió a la venta a finales del pasado mes de marzo y es un conjunto de canciones equilibradas, auténticas y honestas, en apariencia sencillos temas pop, pero con letras emocionalmente inteligentes, llenas de guiños y sorpresas. La forma en que se produjo el disco, y posteriormente los directos, ha creado un fuerte vínculo entre el oyente y Jero, una estrecha relación con su público, que es uno de los mayores valores del artista.",[''],En Familia (mayo y junio 2012),No details,['CONCIERTOS'],https://www.lacasaencendida.es/conciertos/concierto-jero-romero,https://www.lacasaencendida.es/storage/11240/responsive-images/2142-609f-en_familia_concierto_jero_romero_junio_2012_th___detail_1600_900.jpg,1 hora
9,Derivas biográficas,No definido,31 may - 7 jun 2012,La creadora escénica Paloma Calle propone un taller de experimentación en el que se trabaja con la propia vida como material de trabajo.,,[''],RADIO - Archivo de entrevistas,No details,['ENCUENTROS'],https://www.lacasaencendida.es/encuentros/derivas-biograficas,https://www.lacasaencendida.es/storage/11102/responsive-images/1950-609f-derivas_biograficas_th_1___detail_1600_900.jpg,
